,auc_roc,auc_pr,log_loss,f1,ece,run_id
LightGBM,0.6986567460882499,0.8873746758681809,0.45843373039798946,0.8884019644880997,0.0026596678836193622,50e1840ae4614e9da55271646b2b8d68
XGBoost,0.6966295132087221,0.8874516632428355,0.45945119857788086,0.8888049268900895,0.0058271108229954755,2421762cdfea4d15a713e8fb457ec523
