split,auc_roc,auc_pr,log_loss,f1,ece
val,0.7022513529996314,0.8900021567093483,0.4579073371502132,0.8884520884520885,0.006241966069878431
test,0.6986567460882499,0.8873746758681809,0.45843373039798946,0.8884019644880997,0.0026596678836193622
