split,auc_roc,auc_pr,log_loss,f1,ece
val,0.7007009964285758,0.8892888113207158,0.4589458703994751,0.8880063542494043,0.00696209854284923
test,0.6966295132087221,0.8874516632428355,0.45945119857788086,0.8888049268900895,0.0058271108229954755
